Date,ExchangeRate,Currency
1999-04-14,1.4929,CAD
1999-04-15,1.4908,CAD
1999-04-16,1.4865,CAD
1999-04-19,1.4833,CAD
1999-04-20,1.492,CAD
1999-04-21,1.4895,CAD
1999-04-22,1.481,CAD
1999-04-23,1.477,CAD
1999-04-26,1.4792,CAD
1999-04-27,1.4788,CAD
1999-04-28,1.477,CAD
1999-04-29,1.467,CAD
1999-04-30,1.4578,CAD
1999-05-03,1.4512,CAD
1999-05-04,1.454,CAD
1999-05-05,1.4558,CAD
1999-05-06,1.4555,CAD
1999-05-07,1.4585,CAD
1999-05-10,1.4605,CAD
1999-05-11,1.4538,CAD
1999-05-12,1.4608,CAD
1999-05-13,1.4598,CAD
1999-05-14,1.4635,CAD
1999-05-17,1.4605,CAD
1999-05-18,1.4607,CAD
1999-05-19,1.4661,CAD
1999-05-20,1.4658,CAD
1999-05-21,1.4595,CAD
1999-05-24,1.4559,CAD
1999-05-25,1.4603,CAD
1999-05-26,1.472,CAD
1999-05-27,1.4755,CAD
1999-05-28,1.4725,CAD
1999-06-01,1.483,CAD
1999-06-02,1.4805,CAD
1999-06-03,1.4768,CAD
1999-06-04,1.4696,CAD
1999-06-07,1.4735,CAD
1999-06-08,1.47,CAD
1999-06-09,1.4723,CAD
1999-06-10,1.462,CAD
1999-06-11,1.46,CAD
1999-06-14,1.4608,CAD
1999-06-15,1.4653,CAD
1999-06-16,1.4585,CAD
1999-06-17,1.461,CAD
1999-06-18,1.4645,CAD
1999-06-21,1.4727,CAD
1999-06-22,1.4705,CAD
1999-06-23,1.4735,CAD
1999-06-24,1.471,CAD
1999-06-25,1.4642,CAD
1999-06-28,1.4695,CAD
1999-06-29,1.476,CAD
1999-06-30,1.4735,CAD
1999-07-01,1.4693,CAD
1999-07-02,1.4645,CAD
1999-07-06,1.4685,CAD
1999-07-07,1.47,CAD
1999-07-08,1.4698,CAD
1999-07-09,1.4735,CAD
1999-07-12,1.4812,CAD
1999-07-13,1.4828,CAD
1999-07-14,1.4811,CAD
1999-07-15,1.4826,CAD
1999-07-16,1.482,CAD
1999-07-19,1.4918,CAD
1999-07-20,1.4915,CAD
1999-07-21,1.5011,CAD
1999-07-22,1.5025,CAD
1999-07-23,1.5076,CAD
1999-07-26,1.5102,CAD
1999-07-27,1.5135,CAD
1999-07-28,1.511,CAD
1999-07-29,1.5085,CAD
1999-07-30,1.507,CAD
1999-08-02,1.5079,CAD
1999-08-03,1.4948,CAD
1999-08-04,1.4898,CAD
1999-08-05,1.4947,CAD
1999-08-06,1.5035,CAD
1999-08-09,1.5026,CAD
1999-08-10,1.5,CAD
1999-08-11,1.4908,CAD
1999-08-12,1.4853,CAD
1999-08-13,1.478,CAD
1999-08-16,1.4815,CAD
1999-08-17,1.4794,CAD
1999-08-18,1.4832,CAD
1999-08-19,1.494,CAD
1999-08-20,1.4942,CAD
1999-08-23,1.4955,CAD
1999-08-24,1.4955,CAD
1999-08-25,1.496,CAD
1999-08-26,1.5026,CAD
1999-08-27,1.492,CAD
1999-08-30,1.4925,CAD
1999-08-31,1.4965,CAD
1999-09-01,1.4858,CAD
1999-09-02,1.495,CAD
1999-09-03,1.4909,CAD
1999-09-07,1.4937,CAD
1999-09-08,1.487,CAD
1999-09-09,1.48,CAD
1999-09-10,1.4747,CAD
1999-09-13,1.4703,CAD
1999-09-14,1.4745,CAD
1999-09-15,1.4754,CAD
1999-09-16,1.478,CAD
1999-09-17,1.4742,CAD
1999-09-20,1.4785,CAD
1999-09-21,1.4725,CAD
1999-09-22,1.4685,CAD
1999-09-23,1.4754,CAD
1999-09-24,1.4739,CAD
1999-09-27,1.4713,CAD
1999-09-28,1.4645,CAD
1999-09-29,1.4645,CAD
1999-09-30,1.4695,CAD
1999-10-01,1.4725,CAD
1999-10-04,1.4705,CAD
1999-10-05,1.4695,CAD
1999-10-06,1.4695,CAD
1999-10-07,1.4725,CAD
1999-10-08,1.4739,CAD
1999-10-12,1.4748,CAD
1999-10-13,1.4815,CAD
1999-10-14,1.4822,CAD
1999-10-15,1.4853,CAD
1999-10-18,1.4952,CAD
1999-10-19,1.491,CAD
1999-10-20,1.4905,CAD
1999-10-21,1.486,CAD
1999-10-22,1.4759,CAD
1999-10-25,1.4748,CAD
1999-10-26,1.4715,CAD
1999-10-27,1.4709,CAD
1999-10-28,1.4722,CAD
1999-10-29,1.472,CAD
1999-11-01,1.4684,CAD
1999-11-02,1.469,CAD
1999-11-03,1.4688,CAD
1999-11-04,1.465,CAD
1999-11-05,1.463,CAD
1999-11-08,1.4683,CAD
1999-11-09,1.4735,CAD
1999-11-10,1.4708,CAD
1999-11-12,1.462,CAD
1999-11-15,1.465,CAD
1999-11-16,1.4698,CAD
1999-11-17,1.4675,CAD
1999-11-18,1.4635,CAD
1999-11-19,1.4628,CAD
1999-11-22,1.462,CAD
1999-11-23,1.465,CAD
1999-11-24,1.4685,CAD
1999-11-26,1.4685,CAD
1999-11-29,1.4752,CAD
1999-11-30,1.472,CAD
1999-12-01,1.475,CAD
1999-12-02,1.4795,CAD
1999-12-03,1.4793,CAD
1999-12-06,1.4742,CAD
1999-12-07,1.475,CAD
1999-12-08,1.4794,CAD
1999-12-09,1.4745,CAD
1999-12-10,1.4787,CAD
1999-12-13,1.4796,CAD
1999-12-14,1.4823,CAD
1999-12-15,1.4837,CAD
1999-12-16,1.4785,CAD
1999-12-17,1.4778,CAD
1999-12-20,1.48,CAD
1999-12-21,1.4796,CAD
1999-12-22,1.4769,CAD
1999-12-23,1.4735,CAD
1999-12-24,1.4685,CAD
1999-12-27,1.4623,CAD
1999-12-28,1.4545,CAD
1999-12-29,1.4507,CAD
1999-12-30,1.4533,CAD
1999-12-31,1.444,CAD
2000-01-03,1.4465,CAD
2000-01-04,1.4518,CAD
2000-01-05,1.4518,CAD
2000-01-06,1.4571,CAD
2000-01-07,1.4505,CAD
2000-01-10,1.4568,CAD
2000-01-11,1.457,CAD
2000-01-12,1.455,CAD
2000-01-13,1.4495,CAD
2000-01-14,1.4497,CAD
2000-01-18,1.4502,CAD
2000-01-19,1.4527,CAD
2000-01-20,1.4484,CAD
2000-01-21,1.442,CAD
2000-01-24,1.44,CAD
2000-01-25,1.4389,CAD
2000-01-26,1.4379,CAD
2000-01-27,1.435,CAD
2000-01-28,1.4495,CAD
2000-01-31,1.4517,CAD
2000-02-01,1.4468,CAD
2000-02-02,1.4435,CAD
2000-02-03,1.4417,CAD
2000-02-04,1.4467,CAD
2000-02-07,1.4457,CAD
2000-02-08,1.4473,CAD
2000-02-09,1.4443,CAD
2000-02-10,1.45,CAD
2000-02-11,1.4515,CAD
2000-02-14,1.4547,CAD
2000-02-15,1.4585,CAD
2000-02-16,1.452,CAD
2000-02-17,1.4522,CAD
2000-02-18,1.4512,CAD
2000-02-22,1.4595,CAD
2000-02-23,1.4651,CAD
2000-02-24,1.4587,CAD
2000-02-25,1.4505,CAD
2000-02-28,1.4538,CAD
2000-02-29,1.4505,CAD
2000-03-01,1.447,CAD
2000-03-02,1.4543,CAD
2000-03-03,1.451,CAD
2000-03-06,1.4555,CAD
2000-03-07,1.4527,CAD
2000-03-08,1.4592,CAD
2000-03-09,1.457,CAD
2000-03-10,1.4575,CAD
2000-03-13,1.4614,CAD
2000-03-14,1.4632,CAD
2000-03-15,1.468,CAD
2000-03-16,1.4724,CAD
2000-03-17,1.4728,CAD
2000-03-20,1.4703,CAD
2000-03-21,1.4662,CAD
2000-03-22,1.472,CAD
2000-03-23,1.4727,CAD
2000-03-24,1.465,CAD
2000-03-27,1.4605,CAD
2000-03-28,1.4541,CAD
2000-03-29,1.4555,CAD
2000-03-30,1.4557,CAD
2000-03-31,1.4538,CAD
2000-04-03,1.4548,CAD
2000-04-04,1.4531,CAD
2000-04-05,1.4548,CAD
2000-04-06,1.4515,CAD
2000-04-07,1.4574,CAD
2000-04-10,1.4615,CAD
2000-04-11,1.4635,CAD
2000-04-12,1.4623,CAD
2000-04-13,1.4661,CAD
2000-04-14,1.4767,CAD
2000-04-17,1.4855,CAD
2000-04-18,1.4837,CAD
2000-04-19,1.4761,CAD
2000-04-20,1.4725,CAD
2000-04-21,1.475,CAD
2000-04-24,1.4763,CAD
2000-04-25,1.4699,CAD
2000-04-26,1.4758,CAD
2000-04-27,1.4792,CAD
2000-04-28,1.4818,CAD
2000-05-01,1.4783,CAD
2000-05-02,1.4857,CAD
2000-05-03,1.4923,CAD
2000-05-04,1.498,CAD
2000-05-05,1.498,CAD
2000-05-08,1.4927,CAD
2000-05-09,1.4945,CAD
2000-05-10,1.4955,CAD
2000-05-11,1.49,CAD
2000-05-12,1.4872,CAD
2000-05-15,1.4897,CAD
2000-05-16,1.4862,CAD
2000-05-17,1.4992,CAD
2000-05-18,1.5007,CAD
2000-05-19,1.4963,CAD
2000-05-22,1.4983,CAD
2000-05-23,1.5036,CAD
2000-05-24,1.5085,CAD
2000-05-25,1.5057,CAD
2000-05-26,1.5045,CAD
2000-05-30,1.5036,CAD
2000-05-31,1.4977,CAD
2000-06-01,1.491,CAD
2000-06-02,1.4785,CAD
2000-06-05,1.4779,CAD
2000-06-06,1.478,CAD
2000-06-07,1.4785,CAD
2000-06-08,1.48,CAD
2000-06-09,1.4765,CAD
2000-06-12,1.4765,CAD
2000-06-13,1.4697,CAD
2000-06-14,1.4695,CAD
2000-06-15,1.4758,CAD
2000-06-16,1.4708,CAD
2000-06-19,1.4657,CAD
2000-06-20,1.4708,CAD
2000-06-21,1.4729,CAD
2000-06-22,1.4725,CAD
2000-06-23,1.4793,CAD
2000-06-26,1.483,CAD
2000-06-27,1.4825,CAD
2000-06-28,1.4838,CAD
2000-06-29,1.482,CAD
2000-06-30,1.4798,CAD
2000-07-03,1.4793,CAD
2000-07-05,1.4909,CAD
2000-07-06,1.485,CAD
2000-07-07,1.481,CAD
2000-07-10,1.4798,CAD
2000-07-11,1.4785,CAD
2000-07-12,1.4815,CAD
2000-07-13,1.4809,CAD
2000-07-14,1.4845,CAD
2000-07-17,1.4813,CAD
2000-07-18,1.4783,CAD
2000-07-19,1.4758,CAD
2000-07-20,1.4748,CAD
2000-07-21,1.4715,CAD
2000-07-24,1.4639,CAD
2000-07-25,1.4653,CAD
2000-07-26,1.4665,CAD
2000-07-27,1.4713,CAD
2000-07-28,1.4776,CAD
2000-07-31,1.488,CAD
2000-08-01,1.4892,CAD
2000-08-02,1.4813,CAD
2000-08-03,1.4844,CAD
2000-08-04,1.4889,CAD
2000-08-07,1.4875,CAD
2000-08-08,1.4889,CAD
2000-08-09,1.4848,CAD
2000-08-10,1.4826,CAD
2000-08-11,1.4839,CAD
2000-08-14,1.4847,CAD
2000-08-15,1.487,CAD
2000-08-16,1.4774,CAD
2000-08-17,1.4759,CAD
2000-08-18,1.4747,CAD
2000-08-21,1.4765,CAD
2000-08-22,1.4756,CAD
2000-08-23,1.4877,CAD
2000-08-24,1.4871,CAD
2000-08-25,1.4828,CAD
2000-08-28,1.4845,CAD
2000-08-29,1.4868,CAD
2000-08-30,1.4805,CAD
2000-08-31,1.472,CAD
2000-09-01,1.4742,CAD
2000-09-05,1.4752,CAD
2000-09-06,1.4843,CAD
2000-09-07,1.4777,CAD
2000-09-08,1.4781,CAD
2000-09-11,1.48,CAD
2000-09-12,1.4825,CAD
2000-09-13,1.4838,CAD
2000-09-14,1.4869,CAD
2000-09-15,1.4844,CAD
2000-09-18,1.4905,CAD
2000-09-19,1.488,CAD
2000-09-20,1.4833,CAD
2000-09-21,1.4873,CAD
2000-09-22,1.4892,CAD
2000-09-25,1.489,CAD
2000-09-26,1.488,CAD
2000-09-27,1.4962,CAD
2000-09-28,1.503,CAD
2000-09-29,1.507,CAD
2000-10-02,1.5108,CAD
2000-10-03,1.506,CAD
2000-10-04,1.499,CAD
2000-10-05,1.4954,CAD
2000-10-06,1.5013,CAD
2000-10-10,1.5014,CAD
2000-10-11,1.5043,CAD
2000-10-12,1.5085,CAD
2000-10-13,1.5135,CAD
2000-10-16,1.5195,CAD
2000-10-17,1.5184,CAD
2000-10-18,1.52,CAD
2000-10-19,1.5112,CAD
2000-10-20,1.5119,CAD
2000-10-23,1.508,CAD
2000-10-24,1.5118,CAD
2000-10-25,1.5164,CAD
2000-10-26,1.5187,CAD
2000-10-27,1.5275,CAD
2000-10-30,1.5311,CAD
2000-10-31,1.5273,CAD
2000-11-01,1.5263,CAD
2000-11-02,1.5333,CAD
2000-11-03,1.5348,CAD
2000-11-06,1.5305,CAD
2000-11-07,1.5315,CAD
2000-11-08,1.5432,CAD
2000-11-09,1.5455,CAD
2000-11-10,1.546,CAD
2000-11-13,1.5472,CAD
2000-11-14,1.5445,CAD
2000-11-15,1.551,CAD
2000-11-16,1.5523,CAD
2000-11-17,1.56,CAD
2000-11-20,1.5592,CAD
2000-11-21,1.5553,CAD
2000-11-22,1.5473,CAD
2000-11-24,1.5396,CAD
2000-11-27,1.5348,CAD
2000-11-28,1.5371,CAD
2000-11-29,1.5405,CAD
2000-11-30,1.5355,CAD
2000-12-01,1.5389,CAD
2000-12-04,1.5458,CAD
2000-12-05,1.5438,CAD
2000-12-06,1.5323,CAD
2000-12-07,1.5223,CAD
2000-12-08,1.5205,CAD
2000-12-11,1.5227,CAD
2000-12-12,1.5249,CAD
2000-12-13,1.5205,CAD
2000-12-14,1.5165,CAD
2000-12-15,1.5174,CAD
2000-12-18,1.5254,CAD
2000-12-19,1.522,CAD
2000-12-20,1.5215,CAD
2000-12-21,1.5185,CAD
2000-12-22,1.5168,CAD
2000-12-26,1.5099,CAD
2000-12-27,1.511,CAD
2000-12-28,1.5073,CAD
2000-12-29,1.4995,CAD
2001-01-02,1.4963,CAD
2001-01-03,1.4982,CAD
2001-01-04,1.4985,CAD
2001-01-05,1.5003,CAD
2001-01-08,1.4944,CAD
2001-01-09,1.4973,CAD
2001-01-10,1.4993,CAD
2001-01-11,1.4978,CAD
2001-01-12,1.4967,CAD
2001-01-16,1.5037,CAD
2001-01-17,1.5123,CAD
2001-01-18,1.5162,CAD
2001-01-19,1.5155,CAD
2001-01-22,1.5072,CAD
2001-01-23,1.5073,CAD
2001-01-24,1.5126,CAD
2001-01-25,1.508,CAD
2001-01-26,1.5066,CAD
2001-01-29,1.501,CAD
2001-01-30,1.4985,CAD
2001-01-31,1.4995,CAD
2001-02-01,1.4948,CAD
2001-02-02,1.4933,CAD
2001-02-05,1.505,CAD
2001-02-06,1.508,CAD
2001-02-07,1.511,CAD
2001-02-08,1.5117,CAD
2001-02-09,1.509,CAD
2001-02-12,1.5205,CAD
2001-02-13,1.5214,CAD
2001-02-14,1.5287,CAD
2001-02-15,1.5275,CAD
2001-02-16,1.5368,CAD
2001-02-20,1.5399,CAD
2001-02-21,1.537,CAD
2001-02-22,1.5378,CAD
2001-02-23,1.5378,CAD
2001-02-26,1.5314,CAD
2001-02-27,1.5261,CAD
2001-02-28,1.532,CAD
2001-03-01,1.5465,CAD
2001-03-02,1.5489,CAD
2001-03-05,1.5475,CAD
2001-03-06,1.5388,CAD
2001-03-07,1.5492,CAD
2001-03-08,1.5497,CAD
2001-03-09,1.548,CAD
2001-03-12,1.5505,CAD
2001-03-13,1.5477,CAD
2001-03-14,1.5528,CAD
2001-03-15,1.5595,CAD
2001-03-16,1.5669,CAD
2001-03-19,1.5698,CAD
2001-03-20,1.5611,CAD
2001-03-21,1.573,CAD
2001-03-22,1.5742,CAD
2001-03-23,1.5667,CAD
2001-03-26,1.5545,CAD
2001-03-27,1.5693,CAD
2001-03-28,1.5668,CAD
2001-03-29,1.5725,CAD
2001-03-30,1.5784,CAD
2001-04-02,1.575,CAD
2001-04-03,1.579,CAD
2001-04-04,1.5697,CAD
2001-04-05,1.5788,CAD
2001-04-06,1.5615,CAD
2001-04-09,1.5635,CAD
2001-04-10,1.5555,CAD
2001-04-11,1.5626,CAD
2001-04-12,1.56,CAD
2001-04-13,1.5627,CAD
2001-04-16,1.5625,CAD
2001-04-17,1.5575,CAD
2001-04-18,1.5692,CAD
2001-04-19,1.547,CAD
2001-04-20,1.5425,CAD
2001-04-23,1.546,CAD
2001-04-24,1.549,CAD
2001-04-25,1.5474,CAD
2001-04-26,1.546,CAD
2001-04-27,1.5417,CAD
2001-04-30,1.536,CAD
2001-05-01,1.5338,CAD
2001-05-02,1.531,CAD
2001-05-03,1.533,CAD
2001-05-04,1.5353,CAD
2001-05-07,1.5405,CAD
2001-05-08,1.5445,CAD
2001-05-09,1.5407,CAD
2001-05-10,1.5391,CAD
2001-05-11,1.5503,CAD
2001-05-14,1.5541,CAD
2001-05-15,1.5493,CAD
2001-05-16,1.5405,CAD
2001-05-17,1.536,CAD
2001-05-18,1.5328,CAD
2001-05-21,1.5325,CAD
2001-05-22,1.5415,CAD
2001-05-23,1.5452,CAD
2001-05-24,1.5474,CAD
2001-05-25,1.5455,CAD
2001-05-29,1.5376,CAD
2001-05-30,1.5464,CAD
2001-05-31,1.5461,CAD
2001-06-01,1.5324,CAD
2001-06-04,1.5347,CAD
2001-06-05,1.5328,CAD
2001-06-06,1.5248,CAD
2001-06-07,1.521,CAD
2001-06-08,1.5215,CAD
2001-06-11,1.5162,CAD
2001-06-12,1.5246,CAD
2001-06-13,1.5183,CAD
2001-06-14,1.5208,CAD
2001-06-15,1.522,CAD
2001-06-18,1.5336,CAD
2001-06-19,1.5337,CAD
2001-06-20,1.531,CAD
2001-06-21,1.5265,CAD
2001-06-22,1.5293,CAD
2001-06-25,1.5195,CAD
2001-06-26,1.5142,CAD
2001-06-27,1.5176,CAD
2001-06-28,1.5233,CAD
2001-06-29,1.5175,CAD
2001-07-02,1.5153,CAD
2001-07-03,1.5128,CAD
2001-07-05,1.5102,CAD
2001-07-06,1.52,CAD
2001-07-09,1.5203,CAD
2001-07-10,1.5213,CAD
2001-07-11,1.5255,CAD
2001-07-12,1.528,CAD
2001-07-13,1.5398,CAD
2001-07-16,1.54,CAD
2001-07-17,1.54,CAD
2001-07-18,1.535,CAD
2001-07-19,1.5418,CAD
2001-07-20,1.545,CAD
2001-07-23,1.545,CAD
2001-07-24,1.5383,CAD
2001-07-25,1.5381,CAD
2001-07-26,1.5335,CAD
2001-07-27,1.5352,CAD
2001-07-30,1.5305,CAD
2001-07-31,1.531,CAD
2001-08-01,1.5358,CAD
2001-08-02,1.5417,CAD
2001-08-03,1.5356,CAD
2001-08-06,1.5275,CAD
2001-08-07,1.5343,CAD
2001-08-08,1.5333,CAD
2001-08-09,1.5395,CAD
2001-08-10,1.5405,CAD
2001-08-13,1.539,CAD
2001-08-14,1.5413,CAD
2001-08-15,1.529,CAD
2001-08-16,1.5314,CAD
2001-08-17,1.5428,CAD
2001-08-20,1.5461,CAD
2001-08-21,1.549,CAD
2001-08-22,1.5438,CAD
2001-08-23,1.5423,CAD
2001-08-24,1.5414,CAD
2001-08-27,1.5423,CAD
2001-08-28,1.5401,CAD
2001-08-29,1.5462,CAD
2001-08-30,1.546,CAD
2001-08-31,1.5478,CAD
2001-09-04,1.5535,CAD
2001-09-05,1.5603,CAD
2001-09-06,1.559,CAD
2001-09-07,1.568,CAD
2001-09-10,1.5656,CAD
2001-09-12,1.561,CAD
2001-09-13,1.5681,CAD
2001-09-14,1.5641,CAD
2001-09-17,1.5686,CAD
2001-09-18,1.5708,CAD
2001-09-19,1.5711,CAD
2001-09-20,1.5708,CAD
2001-09-21,1.5707,CAD
2001-09-24,1.5686,CAD
2001-09-25,1.5705,CAD
2001-09-26,1.5734,CAD
2001-09-27,1.5791,CAD
2001-09-28,1.5797,CAD
2001-10-01,1.5794,CAD
2001-10-02,1.5696,CAD
2001-10-03,1.5688,CAD
2001-10-04,1.568,CAD
2001-10-05,1.5626,CAD
2001-10-09,1.5638,CAD
2001-10-10,1.5679,CAD
2001-10-11,1.568,CAD
2001-10-12,1.5659,CAD
2001-10-15,1.5582,CAD
2001-10-16,1.5621,CAD
2001-10-17,1.5687,CAD
2001-10-18,1.5763,CAD
2001-10-19,1.5756,CAD
2001-10-22,1.5787,CAD
2001-10-23,1.5723,CAD
2001-10-24,1.5745,CAD
2001-10-25,1.5775,CAD
2001-10-26,1.575,CAD
2001-10-29,1.575,CAD
2001-10-30,1.5785,CAD
2001-10-31,1.5905,CAD
2001-11-01,1.5913,CAD
2001-11-02,1.5925,CAD
2001-11-05,1.5958,CAD
2001-11-06,1.5938,CAD
2001-11-07,1.5935,CAD
2001-11-08,1.598,CAD
2001-11-09,1.6023,CAD
2001-11-13,1.5982,CAD
2001-11-14,1.5923,CAD
2001-11-15,1.587,CAD
2001-11-16,1.587,CAD
2001-11-19,1.5849,CAD
2001-11-20,1.5933,CAD
2001-11-21,1.6018,CAD
2001-11-23,1.5981,CAD
2001-11-26,1.6005,CAD
2001-11-27,1.5948,CAD
2001-11-28,1.5853,CAD
2001-11-29,1.5828,CAD
2001-11-30,1.5717,CAD
2001-12-03,1.5762,CAD
2001-12-04,1.5729,CAD
2001-12-05,1.5716,CAD
2001-12-06,1.5767,CAD
2001-12-07,1.5725,CAD
2001-12-10,1.5787,CAD
2001-12-11,1.5781,CAD
2001-12-12,1.5654,CAD
2001-12-13,1.5675,CAD
2001-12-14,1.5635,CAD
2001-12-17,1.5646,CAD
2001-12-18,1.5729,CAD
2001-12-19,1.5743,CAD
2001-12-20,1.5782,CAD
2001-12-21,1.585,CAD
2001-12-24,1.5945,CAD
2001-12-26,1.599,CAD
2001-12-27,1.5954,CAD
2001-12-28,1.5956,CAD
2001-12-31,1.5925,CAD
2002-01-02,1.5974,CAD
2002-01-03,1.597,CAD
2002-01-04,1.5977,CAD
2002-01-07,1.5981,CAD
2002-01-08,1.5949,CAD
2002-01-09,1.5965,CAD
2002-01-10,1.6012,CAD
2002-01-11,1.5975,CAD
2002-01-14,1.5974,CAD
2002-01-15,1.5899,CAD
2002-01-16,1.5945,CAD
2002-01-17,1.611,CAD
2002-01-18,1.6128,CAD
2002-01-22,1.6084,CAD
2002-01-23,1.604,CAD
2002-01-24,1.602,CAD
2002-01-25,1.6083,CAD
2002-01-28,1.6126,CAD
2002-01-29,1.5903,CAD
2002-01-30,1.591,CAD
2002-01-31,1.5915,CAD
2002-02-01,1.5908,CAD
2002-02-04,1.5919,CAD
2002-02-05,1.5985,CAD
2002-02-06,1.6042,CAD
2002-02-07,1.6037,CAD
2002-02-08,1.597,CAD
2002-02-11,1.5895,CAD
2002-02-12,1.5919,CAD
2002-02-13,1.591,CAD
2002-02-14,1.5919,CAD
2002-02-15,1.5908,CAD
2002-02-19,1.5885,CAD
2002-02-20,1.5905,CAD
2002-02-21,1.5914,CAD
2002-02-22,1.5945,CAD
2002-02-25,1.601,CAD
2002-02-26,1.6112,CAD
2002-02-27,1.6084,CAD
2002-02-28,1.6049,CAD
2002-03-01,1.5955,CAD
2002-03-04,1.59,CAD
2002-03-05,1.5905,CAD
2002-03-06,1.5835,CAD
2002-03-07,1.5823,CAD
2002-03-08,1.5857,CAD
2002-03-11,1.5843,CAD
2002-03-12,1.5858,CAD
2002-03-13,1.5935,CAD
2002-03-14,1.5943,CAD
2002-03-15,1.5863,CAD
2002-03-18,1.588,CAD
2002-03-19,1.5842,CAD
2002-03-20,1.5793,CAD
2002-03-21,1.5808,CAD
2002-03-22,1.5767,CAD
2002-03-25,1.5858,CAD
2002-03-26,1.5925,CAD
2002-03-27,1.5938,CAD
2002-03-28,1.594,CAD
2002-03-29,1.5958,CAD
2002-04-01,1.5995,CAD
2002-04-02,1.5934,CAD
2002-04-03,1.589,CAD
2002-04-04,1.593,CAD
2002-04-05,1.59,CAD
2002-04-08,1.5941,CAD
2002-04-09,1.5964,CAD
2002-04-10,1.593,CAD
2002-04-11,1.5879,CAD
2002-04-12,1.5879,CAD
2002-04-15,1.5892,CAD
2002-04-16,1.5798,CAD
2002-04-17,1.5745,CAD
2002-04-18,1.5747,CAD
2002-04-19,1.5723,CAD
2002-04-22,1.573,CAD
2002-04-23,1.5753,CAD
2002-04-24,1.5685,CAD
2002-04-25,1.5636,CAD
2002-04-26,1.5632,CAD
2002-04-29,1.5663,CAD
2002-04-30,1.5681,CAD
2002-05-01,1.5579,CAD
2002-05-02,1.5621,CAD
2002-05-03,1.565,CAD
2002-05-06,1.5685,CAD
2002-05-07,1.5705,CAD
2002-05-08,1.5708,CAD
2002-05-09,1.5687,CAD
2002-05-10,1.5575,CAD
2002-05-13,1.5585,CAD
2002-05-14,1.559,CAD
2002-05-15,1.5563,CAD
2002-05-16,1.555,CAD
2002-05-17,1.542,CAD
2002-05-20,1.5415,CAD
2002-05-21,1.5387,CAD
2002-05-22,1.5361,CAD
2002-05-23,1.5338,CAD
2002-05-24,1.535,CAD
2002-05-28,1.5305,CAD
2002-05-29,1.5345,CAD
2002-05-30,1.534,CAD
2002-05-31,1.5275,CAD
2002-06-03,1.5282,CAD
2002-06-04,1.5284,CAD
2002-06-05,1.535,CAD
2002-06-06,1.5325,CAD
2002-06-07,1.5321,CAD
2002-06-10,1.5385,CAD
2002-06-11,1.5383,CAD
2002-06-12,1.5365,CAD
2002-06-13,1.5398,CAD
2002-06-14,1.5499,CAD
2002-06-17,1.5474,CAD
2002-06-18,1.5443,CAD
2002-06-19,1.5415,CAD
2002-06-20,1.5319,CAD
2002-06-21,1.5232,CAD
2002-06-24,1.5166,CAD
2002-06-25,1.5218,CAD
2002-06-26,1.5211,CAD
2002-06-27,1.5108,CAD
2002-06-28,1.519,CAD
2002-07-01,1.519,CAD
2002-07-02,1.5263,CAD
2002-07-03,1.529,CAD
2002-07-05,1.5247,CAD
2002-07-08,1.5208,CAD
